company,claim_text,confidence
Shell,"Our People Engage Stakeholders and Communities Execute with Integrity Appendix Additional Resources 2 TABLE OF CONTENTS A Message from Our CEO 4 Reducing, Reusing and Recycling Waste 22 Connecting with Communities 33 EEO-1 Report 57 2024 Sustainability Highlights 5 Air Quality and Emissions 23",0.774
Shell,Engaging with Tribal Neighbors 34 Glossary 57 Our Approach to Sustainability 6 Community Investments 35 2024 Sustainability-Related Targets 6 Empower Our People 24 Responsible Supply Chain Management 37 Additional Resources 58 Stakeholder Engagement and Shared Value 7,0.882
Shell,A Culture of Safety 25 Respecting Human Rights 38 Identification of Sustainability Topics 7 Safety A Shared Responsibility 25 Choosing Safe and Innovative Contractors 25 Execute with Integrity 39 Advance Environmental Stewardship 8 Process Safety Management 25 Accountable and Transparent Governance 40 Lowering Our Carbon Footprint 9 Enhanced Safety Programs 26,0.897
Shell,Our Board of Directors 40 Capital Allocation 9 Creating an Inclusive Culture 27 Enterprise Risk Management 42 Focus on Energy 10 Building a Talented Workforce 28 Compliance and Ethics 43 Methane Emissions 11 Investing In Our Employees 29 Political Contributions and Advocacy 44 Renewables and Emerging Technologies 12 Employee Training and Development 30 Cybersecurity and Privacy 45 Conserving Natural Resources 14 Health and Wellness 31 Biodiversity 14 Employee Engagement 31,0.849
Shell,"On the cover MPC employee at our MPLX Burley, Idaho, terminal.",0.85
Shell,"innovating and evolving formed to own, operate, develop crude oil refining capacity since 1887 and acquire midstream energy Our midstream operations gather, transport, store and distribute crude oil, refined products, including renewable diesel, and other hydrocarbon- infrastructure assets based products via refining logistics assets, pipelines, terminals, towboats and barges.",0.786
Shell,"We re in the Business of Accelerating Life s Possibilities The energy and products we produce support industrial and residential needs across a broad value chain, including standard cubic feet per day vessels and barges gallons of renewable fuels of natural gas processing owned and operated delivered in 2024 capacity through marine business Fuel for cars, trucks, buses, Fuel for steam and electricity Fuel for outdoor heaters, grills, aircraft, trains and ships generation, heating and cooling cooktops and lanterns miles of pipeline owned, transport trucks owned barrels of terminal storage leased or with ownership and operated capacity interest Ingredients for other product manufacturing, such as plastics, fertilizers, synthetic fibers, cosmetics, pharmaceuticals, solvents and aerosol propellant brands North American retail and rail tank cars marketing locations Marathon and ARCO Asphalt for roads and roofing Table of Contents Overview Advance Environmental Stewardship Empower",0.868
Shell,"Our People Engage Stakeholders and Communities Execute with Integrity Appendix Additional Resources 4 A MESSAGE FROM OUR CEO At Marathon and MPLX, accelerating life s business, the International Liquid Terminals",0.888
Shell,"achieving a peer-leading 2024 OSHA opportunities, rewards, and recognition that progress we have made in In this Sustainability Report, we explain the recordable incident rate.",0.832
Shell,support the long-term health and wellness of our employees and their families.,0.866
Shell,We were advancing our sustainability goals connection between what we do the,0.903
Shell,"While we are proud of our safety proud to be recognized in 2025 as one of critical work of providing energy and how accomplishments, we are not satisfied and America s most just companies by JUST and demonstrates our objective to we do it.",0.826
Shell,Continuing to terms of how we invest in our employees.,0.894
Shell,"In 2024 we welcomed more than 450 interns and co- environmental stewardship, empowering our follow, but rather a culture that we work to ops, who not only gained valuable people in a variety of ways, engaging uphold each day.",0.929
Shell,"experience, but also ranked Marathon highly, Maryann T. Mannen stakeholders and communities to create As with our goals to achieve even better placing us among the top 100 internship President and CEO, MPC and MPLX shared value, and executing our work with safety performance, we continue to push programs on National Intern Day.",0.826
Shell,"In 2024, Designated critical importance, and we invest our time improvement.",0.933
Shell,"Our employees One of the primary cornerstones of our use to track the number and severity of reported over 57,000 volunteer hours with sustainability commitment is our Core Values incidents were the lowest in six years, and charitable organizations in 2024 alone, and the guiding framework for the decisions we reduced the most severe DEIs more than our dollar contributions to philanthropic we make and the actions we take every day.",0.896
Shell,"organizations from Marathon, MPLX, our In 2024, we confirmed our Core Values of We have established ambitious goals to employees and fundraising partners Safety Environmental Stewardship, reduce our use of fresh water, decrease our amounted to approximately 34 million last Integrity, Inclusion, and Collaboration.",0.939
Shell,"We methane emissions intensity, and lower our year.",0.948
Shell,also added the value of Excellence.,0.949
Shell,Our Scope 1 and 2 GHG making progress and to always look for our emphasize our drive for exceptional emissions intensity is down 28% from our next opportunity to innovate and improve.,0.945
Shell,"continually challenge ourselves to be a As we strive for Excellence in all areas of our Marathon refineries continue to be peer- stronger, better company.",0.899
Shell,"Nothing is leading in their energy efficiency collectively, more important than the health and safety of we have earned more U.S. EPA ENERGY the men and women who do our important STAR recognitions than all other refiners Sincerely, work, and we invest in empowering our combined.",0.866
Shell,"Our Bluestone gas processing people with the resources, skills, training and facility in Pennsylvania became the first and authority to make the right, safe choices only facility in the U.S. natural gas processing every day.",0.921
Shell,Our focus on safety continues to sector to achieve the EPA s ENERGY STAR be recognized industry wide.,0.931
Shell,"As just one Challenge for Industry, decreasing its energy example, the American Fuel Petrochemical intensity almost 15% in one year.",0.946
Shell,"These Maryann T. Mannen Manufacturers association awarded four U.S. advances in our energy efficiency not only President and CEO, MPC and MPLX refineries its top safety recognition for 2024 reduce our environmental footprint, but they the Distinguished Safety Award and also reduce our fuel consumption, three of the four awards were to Marathon representing substantial cost savings.",0.942
Shell,"Similarly, in our midstream Table of Contents Overview Advance Environmental Stewardship Empower Our People Engage Stakeholders and Communities Execute with Integrity Appendix Additional Resources 5 2024 SUSTAINABILITY HIGHLIGHTS 2.8 billion gallons of renewable fuels delivered 59% reduction making MPC one of the largest marketers of renewable fuels in the U.S. American Fuel in methane emissions intensity since 2016 Petrochemical U.S. EPA Manufacturers ENERGY STAR 600 million Distinguished Safety Partner of the Year - Sustained gallons of renewable fuels produced Award Excellence Award for five years in a row a company record presented to three refineries 390,000 tonnes 1 million 28% of CO 2 captured from operations 34 million employee training hours and joint ventures reduction invested in communities by MPC, MPLX, our employees and in companywide 18% reduction fundraising partners Scope 1 and 2 GHG emissions intensity in freshwater withdrawal since 2014 intensity since 2016 Proudly recognized among the International Liquid Named to the 8,825 acres JUST 100 Top 100 Internship Terminals Association Texan by Nature 20 of pipeline rights of way Programs recognized as one of Platinum Safety Award list for leadership in advancing converted to sustainable America s most just conservation and sustainability in Texas landscapes since 2021 by National Intern Day companies by JUST Capital presented to MPLX Terminals Table of Contents Overview Advance Environmental Stewardship Empower",0.93
Shell,"We do this by advancing environmental stewardship, empowering our people, Scope 1 and 2 GHG Emissions Intensity Methane Emissions Intensity engaging with stakeholders and communities, and executing with integrity.",0.866
Shell,Our sustainability-driven approach Our suite of targets helps (tonnes CO 2 e thousand boe input),0.922
Shell,2035 Goal ò 2030 Goal ò Progress ò 2030,0.824
Shell,We assess progress with these targets on an 28% 59% annual basis and may modify them or adopt new metrics as Advance we work towards achieving We are committed to reducing our carbon footprint our goals or new sources of and implementing practices that conserve natural information come to light.,0.91
Shell,30% BY 75% ENVIRONMENTAL resources and reduce environmental impacts.,0.936
Shell,"In 2024, we increased our STEWARDSHIP Scope 1 and 2 GHG emissions AND intensity target to a 38% 38% BY reduction by 2035 from 2014 2035 levels.",0.956
Shell,This extends our previous goal of 30% by 2030 from 2014 levels.,0.921
Shell,"We prioritize safety and are dedicated to Empower cultivating a safe, collaborative and inclusive After thorough evaluation, we work environment that supports the growth and have recalibrated our success of our people.",0.806
Shell,approach to Scope 3 GHG OUR PEOPLE REDUCTION by 2035 from 2014 levels emissions reductions.,0.951
Shell,Category 11 GHG emissions ò 2025 Goal ò Progress ò 2030,0.936
Shell,"8,825 acres 18% We are committed to building relationships in our For more information on the communities, consistently pursuing opportunities underlying data for our targets, STAKEHOLDERS to create shared value with our stakeholders.",0.876
Shell,"We consistently seek Sector Standard, we continued to focus on topics that reflect significant sustainability impacts and enable the assessment of our company stakeholder perspectives and incorporate their feedback and insights, as appropriate, into our approach to sustainability.",0.784
Shell,"Surveys were conducted with community members, customers, government officials, employees and business partners.",0.823
Shell,"We had extensive engagement 2024 BY THE NUMBERS with shareholders, including outreach to shareholders representing 71% of our outstanding shares and investor engagements with Business shareholders representing 42% of our outstanding shares.",0.948
Shell,"4 42% 3.6 9 34 15.7 We incorporated insights from these recent engagements with industry benchmarks, government regulations, voluntary initiatives, and an analysis of online news by Datamaran .",0.807
Shell,i t I n n e v v a e e m s s s t t o o r r s p te re w s a e r n d t s a h,0.775
Shell,i c n c e g e s g b r e o s u t ps to p m S a u a r p n t p n a e l g ie r e s r m h,0.757
Shell,"d m , c e s o m a m p n p l d o a y n e y e a r P e s o p s li r o c e c y s i a e d t n e io t v",0.795
Shell,We are committed to reducing our carbon footprint and implementing practices that conserve natural resources and reduce environmental impacts.,0.867
Shell,Lowering Our Carbon Footprint 9 Conserving Natural Resources 14 Table of Contents Overview Advance Environmental Stewardship Empower Our People Engage Stakeholders and Communities Execute with Integrity Appendix Additional Resources 9 LOWERING OUR CARBON FOOTPRINT Refining Scope 3 GHG Emissions Capital Allocation We have made demonstrable progress reducing the carbon footprint of our operations through energy-,0.932
Shell,"Scope 1 and 2 GHG Emissions Intensity As a petroleum refiner, MPC s Scope 3 - Category 11 GHG emissions At MPC and MPLX, we invest to strengthen the competitive position of efficiency improvements that enhance the performance and (tonnes CO e thousand boe input) 2 (use of sold products) are primarily related to production volumes our assets and increase our resilience as we allocate growth capital resiliency of our assets.",0.787
Shell,We work to optimize the operations ò 2035 Goal ò 2030,0.88
Shell,Goal ò Progress from our refineries.,0.944
Shell,"Since 2020, we have indefinitely idled one between traditional and low-carbon investments.",0.902
Shell,"Today, we are focused of our assets, make select investments in renewables and petroleum refinery and repurposed two other refineries to produce on optimizing our core refining and logistics portfolio and expanding our lower-carbon products, and continue to expand our natural renewable diesel, a product that reduces GHG emissions in hard-to- natural gas and NGL business.",0.914
Shell,Those measures have collectively Our risk-based capital allocation strategy is designed to ensure strict Scope 1 and 2 GHG Emissions reduced our absolute Scope 3 - Category 11 GHG emissions by 5% capital discipline and long-term competitive returns for our shareholders.,0.766
Shell,"Going forward, we will continue to provide We require higher return-on-investment (ROI) thresholds for projects transparency around our Scope 3 - Category 11 GHG emissions, while In 2020, we adopted a companywide Scope 1 and 2 GHG with greater financial and regulatory uncertainty than those with more transitioning from an absolute emissions reduction target.",0.93
Shell,emissions intensity reduction target to reduce our intensity 30%BY stable cash flow and lower regulatory risk.,0.951
Shell,"Sustaining capital underpins our commitment to safety, and strengthened our commitment by setting a new target impacting the pace and magnitude of reductions, and our recalibrated reliability and environmental performance across our assets and represents approximately 30% of MPC s anticipated 2025 capital intensity from 2014 levels by 2035.",0.946
Shell,"Of emissions (direct emissions from our operations) and Scope Absolute Scope 3 - Category 11 GHG Emissions MPC s anticipated 2025 growth capital, approximately 12% is allocated 2 GHG emissions (indirect emissions from the electricity (million tonnes CO e) to lower-carbon projects which, for example, can help lower GHG 2 and steam we purchase to support our business activities Actual % Change emissions at our refineries or represent investments in renewables and across all our organizations) and dividing that figure by the TARGET 30% REDUCTION of Scope 1 and 2 emerging technologies.",0.908
Shell,"GHG emissions intensity by 2030 and 500 % projects that will primarily occur at our large, competitively advantaged Because our manufacturing sites entail a wide range of 38% REDUCTION by 2035 from 2014 levels facilities to help position MPC well into the future.",0.945
Shell,"Companywide Scope 1 and 2 GHG Emissions Intensity We are focused on reducing our GHG emissions through (tonnes CO e thousand boe input) multiple initiatives, including driving efficiency through our 2 Focus on Energy program, the expansion of our MPLX 300 (20)% Natural Gas and NGL Services business, and the optimization of our renewable fuels production.",0.936
Shell,30 Some notable progress related to our Scope 1 and 2 GHG 1 2020 was not representative of a normal year because production was impacted by COVID-19 emissions lockdowns.,0.898
Shell,We have achieved a 28% reduction in Scope 1 and 2 2 Does not include MPLX capital allocation.,0.952
Shell,"GHG emissions intensity compared to our 2014 baseline, representing 10 consecutive years of progress.",0.957
Shell,"Since 2019, our companywide Scope 1 and 2 GHG emissions have decreased by over 10% on an absolute 20 basis.",0.945
Shell,"Table of Contents Overview Advance Environmental Stewardship Empower Our People Engage Stakeholders and Communities Execute with Integrity Appendix Additional Resources 10 Garyville refinery s Focus on Energy steam challenge was recognized as one of U.S. EPA s We have achieved energy-efficiency improvements, GHG Improving Energy Efficiency Top Projects Energy Efficiency Across Midstream reductions and costs savings through our Focus on Energy program, including avoiding the equivalent of over 1.3 billion Through the success of our Focus on Energy program, in the U.S. industrial To build upon the success of our refinery-specific Focus on Energy Btu hour of energy use, resulting in savings over 28 million MPC has been recognized by the U.S. EPA for our sector during the 2024 program, MPC expanded Focus on Energy to various MPLX facilities.",0.941
Shell,"By taking the ENERGY STAR Challenge, manufacturing sites set a With Focus on Energy programs in place at all 13 of our U.S. EPA that aims to assist industry in improving energy Garyville Refinery goal to reduce their energy intensity by 10% within five years.",0.927
Shell,"MPLX refineries, we ve expanded these efforts to include our efficiency and reducing environmental impact.",0.895
Shell,marked an industry first by entering the ENERGY STAR Challenge for renewable diesel facilities.,0.952
Shell,"In 2024, key performance Steam is used for many applications throughout a Industry in December 2022, and since, 12 terminals and one natural gas indicators were developed for the Dickinson Renewable The Partner of the Year Sustained Excellence Award refinery, and optimizing its use is an important factor in plant achieved the challenge.",0.866
Shell,Fuels facility and initial implementation began at the is the highest level of recognition in the EPA s ENERGY the management of energy costs.,0.942
Shell,The Garyville refinery Martinez Renewable Fuels facility.,0.94
Shell,"To earn the award, companies must go challenged itself to reduce fired steam generation by Bluestone Gas Processing Facility above and beyond the criteria for Partner of the Year",0.832
Shell,"As a part of our Focus on Energy program, we have 100,000 pounds-per-hour in 2024.",0.901
Shell,"The Garyville team The Bluestone natural gas plant in Pennsylvania has become the first and recognition by showing continuous improvement over dedicated energy coordinators at our facilities who exceeded that goal by recovering 129,000 pounds-per- only facility in the U.S. natural gas processing sector to achieve the EPA s time in organizationwide energy savings and hour of steam in 2024.",0.938
Shell,"Bluestone surpassed the Conduct deep-dive studies to benchmark our refineries environmental performance, demonstrating best million in annual cost savings and over 45,000 metric requirement of lowering its energy intensity by 10% within a five-year against peers practices and actively promoting the ENERGY STAR tons of carbon dioxide-equivalent emissions per year.",0.955
Shell,A 12-month rolling average of data showed that Bluestone s program.,0.882
Shell,Identify and track energy-operating parameters energy intensity decreased almost 15% from its established baseline.,0.951
Shell,"As a five-time EPA ENERGY STAR Partner of the Year The success of this initiative was driven by the refinery s Recognizing this significant accomplishment, Bluestone was provided the Develop and implement energy-conservation road maps Sustained Excellence Award recipient, we are an active strategic focus on the education and active engagement opportunity to host an ENERGY STAR Industrial Showcase in October Evaluate more efficient technologies participant in the program, sharing our strategies and of employees to create a collaborative environment 2024 to highlight its progress for stakeholders, legislators and members successes with other industrial companies.",0.879
Shell,"Consider energy efficiency in new project scopes initiatives that led to the success include To build on the success of Bluestone, additional MPLX gas processing MPC ENERGY STAR 2024 Certified Refineries Implemented optimization strategies for process unit facilities have been recently entered into the ENERGY STAR Challenge, Í Anacortes, Washington operating temperatures and equipment sizing.",0.914
Shell,"Í Robinson, Illinois Our intention is to expand our Í St. Paul Park, Minnesota Adjusted process unit valves to recover excess purge industrial energy-efficiency steam.",0.843
Shell,"initiatives to additional facilities, which will further reduce By promoting best practices and encouraging new company energy use and ideas, the Garyville refinery continues building upon strengthen the position efforts that have helped the site remain ENERGY STAR of our assets.",0.832
