company,claim_text,confidence
Shell,Sustainability at Achieving net-zero Sustainability in Our performance Shell,0.926
Shell,Sustainability at Achieving net-zero Sustainability in Our performance Shell Our values emissions Respecting nature,0.929
Shell,"Powering lives oil and gas data Letter from the CEO Wael Sawan Chief Executive Officer In 2023, we made good progress in our goal of creating more value with less emissions.",0.944
Shell,"We achieved our second-best financial results ever, while reducing our carbon emissions on the path towards becoming a net-zero emissions energy business by 2050.",0.957
Shell,"By year s end, we had achieved more than 60% of our target of halving carbon emissions in our own operations by 2030, compared with 2016.",0.953
Shell,"We also met our short-term target to reduce the net carbon intensity of the energy products we sell, with a 6.3% reduction against our target of 6 8% compared with 2016.",0.955
Shell,"A fifth contractor colleague, who was injured in a fire in Nigeria in 2023, passed away in February 2024.",0.938
Shell,"Delivering oil and gas with less emissions As we continue to deliver the oil and gas that the global energy system relies on, we are reducing the carbon emitted in its production.",0.93
Shell,"In 2023, we helped two additional countries reduce their reliance on coal-fired power generation by delivering the first cargoes of LNG to new import terminals in the Philippines and Vietnam.",0.953
Shell,We are also working to reduce the emissions intensity of our LNG projects.,0.907
Shell,"We aim to keep methane emissions below 0.2% at Shell-operated oil and gas assets each year, and I am pleased to say we achieved this again in 2023.",0.923
Shell,Our target is to achieve near-zero methane emissions by the end of this decade.,0.916
Shell,It is expected to reduce CO 2 emissions by about 80% over its operating life.,0.916
Shell,Investing in the energy transition We are also investing in low-carbon and non-energy products that reduce emissions for our customers.,0.913
Shell,"In 2023, we invested 5.6 billionin low-carbon energy solutions, including biofuels, hydrogen, charging for electric vehicles and renewable power generation and 2.3 billionon non-energy products such as chemicals, lubricants and convenience retail, which do not produce emissions when our customers use them.",0.952
Shell,This amounted to around one-third of our total capital spending in 2023.,0.945
Shell,Powering lives oil and gas data We also invested 49% of our research and development budget in 2023 on decarbonisation projects.,0.955
Shell,"We have already achieved some of the commitments made under our respecting nature goal, which we set in 2021.",0.915
Shell,"These include reducing fresh- water consumption by 15% compared with 2018 in areas where water supplies are stressed, which we reached ahead of the target date of 2025.",0.943
Shell,"We are working hard to help develop a viable circular economy for plastics, despite a global lack of feedstock made from plastic waste, slow technology development and regulatory uncertainty.",0.902
Shell,"In 2023, we signed several strategic co-operation agreements with partners to increase supplies of feedstock and enable its long-term storage.",0.948
Shell,"We also continued to remove single-use plastics like cups and cutlery from our Shell-owned service stations and to find new ways to reduce, recycle or reuse plastics in our packaging for lubricants and car-care products.",0.949
Shell,Even more lack clean cooking facilities.,0.929
Shell,"Shell has pledged 200 millionas part of a broader initiative to help people in sub-Saharan Africa, India and South-east Asia get access to energy in the near and medium term.",0.924
Shell,"For instance, in 2023, 32% of our senior leadership positions were held by women, which is close to our target of 35% by 2025.",0.911
