text,label
We reduced Scope 1 and Scope 2 emissions by 33% compared to the 2016/17 baseline.,1
The company committed to achieving net zero emissions across its entire value chain by 2040.,1
"In 2023/24, 70% of polyester used in Clothing and Home products came from verified recycled sources.",1
We removed 144 million pieces of plastic from its packaging portfolio.,1
"Food waste was reduced by 44% against the base year, moving closer to the 50% reduction target.",1
The retailer achieved 98% RSPO-certified sustainable palm oil sourcing in 2023/24.,1
Operational waste to landfill remained at 0% across owned operations.,1
We donated £5.6 million to community causes during 2023/24.,1
The company achieved 50% female representation in senior leadership roles.,1
"Energy efficiency initiatives reduced emissions by 6,000 tonnes of CO2e annually.",1
We reached 85% redistribution of edible food surplus.,1
The company committed to sourcing 100% deforestation-free soy by 2025/26.,1
Scope 3 emissions reporting improved through increased supplier data coverage.,1
LED lighting rollout increased coverage to 78% of owned stores.,1
We achieved 70 million meals donated through community partnerships.,1
Carbon emissions per square foot decreased compared to the prior reporting year.,1
The business achieved Tier 1 ranking in the Business Benchmark on Farm Animal Welfare.,1
All Fairtrade tea and coffee products maintained 100% certification.,1
Recycled polyester usage reached 70% in Clothing and Home ranges.,1
The company reduced air-freight related emissions by optimizing logistics routes.,1
We invested in low-carbon bio-LNG vehicles for logistics.,1
Water efficiency initiatives reduced freshwater usage in supply chains.,1
100% of edible surplus food was targeted for redistribution by 2025/26.,1
Renewable electricity usage increased across UK and ROI stores.,1
Carbon intensity per sales area declined year over year.,1
The company verified emissions data through independent third-party assurance.,1
We exceeded its plastic reduction target for 2023/24.,1
The retailer committed to sourcing 50% of food from sustainable water regions by 2030.,1
Supplier traceability expanded to cover over 80% of fibre materials.,1
Food sales from healthier products reached nearly 70%.,1
The company reduced gas and electricity usage across retail estates.,1
We reported 55% progress toward medium-term carbon targets.,1
Verified deforestation-free palm oil sourcing increased year over year.,1
The company launched circularity initiatives across Clothing and Home.,1
Supplier Higg FEM verification reached 77% at Tier 1 facilities.,1
We committed to reducing Scope 3 emissions in line with SBTi.,1
Energy-saving initiatives cut 24 million kWh of electricity usage.,1
Carbon footprint measurement improved using updated methodologies.,1
The retailer achieved 91% recyclable food packaging by weight.,1
Clothing and Home plastic packaging recyclability reached 80%.,1
We reported zero operational waste to landfill.,1
Food surplus redistribution increased compared to previous years.,1
The company maintained leadership in ethical sourcing benchmarks.,1
Water stewardship initiatives supported irrigation efficiency improvements.,1
We committed to science-based climate targets.,1
Supplier engagement improved emissions hotspot identification.,1
Carbon reductions aligned with the net zero transition roadmap.,1
The retailer reduced refrigeration-related emissions through upgrades.,1
We achieved progress on renewable energy adoption.,1
Carbon reporting aligned with TCFD and ISSB frameworks.,1
This section outlines the structure of the ESG report.,0
The report includes performance summaries and governance information.,0
We describes its ESG strategy framework.,0
The document explains reporting methodologies used in the analysis.,0
"Definitions of Scope 1, Scope 2, and Scope 3 emissions are provided.",0
This section introduces the net zero roadmap.,0
The report references international sustainability standards.,0
Details about reporting boundaries are explained.,0
The ESG report includes multiple performance tables.,0
We provides an overview of its supply chain.,0
This page contains highlights from the reporting year.,0
The report outlines governance committee responsibilities.,0
Explanations of sustainability metrics are included.,0
The document references external assurance providers.,0
Descriptions of ESG pillars are provided.,0
The report outlines future focus areas.,0
This section lists assessment metrics.,0
Methodologies for calculating emissions are described.,0
The ESG report includes glossary definitions.,0
Reporting assumptions are explained in detail.,0
This section introduces responsible sourcing topics.,0
The document references compliance frameworks.,0
Details about data collection processes are included.,0
This section explains risk assessment approaches.,0
Descriptions of stakeholder engagement are provided.,0
The report outlines internal governance structures.,0
The ESG strategy is explained conceptually.,0
Definitions of sustainability terms are provided.,0
The document lists reporting references.,0
This section introduces environmental focus areas.,0
The report explains materiality assessments.,0
Descriptions of audit processes are included.,0
The document outlines ESG committee oversight.,0
This section contains narrative commentary.,0
The report explains supplier categorization.,0
Methodological limitations are discussed.,0
The ESG report includes explanatory footnotes.,0
This section outlines data assurance scope.,0
Descriptions of operational boundaries are provided.,0
The document explains reporting frequency.,0
This section introduces performance indicators.,0
The report outlines ESG data structure.,0
Descriptions of policy frameworks are included.,0
The document explains disclosure alignment.,0
This section references reporting guidance.,0
The report outlines strategic priorities.,0
Descriptions of ESG governance roles are provided.,0
This section introduces social performance topics.,0
The report explains environmental reporting scope.,0
Narrative context is provided for ESG metrics.,0
Shell reduced its total combined Scope 1 and Scope 2 greenhouse gas emissions by 31% compared with the 2016 base year.,1
"In 2023, Shell achieved more than 60% of its target to halve carbon emissions from its own operations by 2030.",1
Shell reduced the net carbon intensity of the energy products it sells by 6.3% compared with a 2016 baseline.,1
Shell aims to become a net-zero emissions energy business by 2050.,1
"In 2023, Shell achieved a 2% reduction in Scope 1 and Scope 2 emissions compared with 2022.",1
Shell reduced freshwater consumption by 15% in water-stressed areas compared with its 2018 baseline.,1
Shell achieved this freshwater reduction ahead of its 2025 target date.,1
"In 2023, 32% of Shell's senior leadership positions were held by women.",1
"Shell supports energy transition skills hubs in the UK to help 15,000 people into jobs by 2035.",1
Shell linked executive remuneration to progress on energy transition targets in 2023.,1
Shell set targets to reduce net carbon intensity by up to 20% by 2030.,1
Shell reports its net carbon intensity using grams of CO2 equivalent per megajoule.,1
Shell's Scope 1 and Scope 2 emissions data were independently verified by LRQA.,1
Shell deployed €86 million into nature-based and technology-based carbon credit projects.,1
Shell invested €27 million in lower-carbon projects in Western Australia.,1
"Shell completed the acquisition of Nature Energy, a renewable natural gas producer, in 2023.",1
Shell increased its solar power activities through the acquisition of 12 projects in Spain.,1
Shell is building the Zamboni solar park in Italy with an expected capacity of 20 megawatts.,1
Shell's wind farm project will supply nearly 3% of electricity demand in the Netherlands.,1
Shell reduced methane emissions intensity to below 0.2% for operated oil and gas assets.,1
Shell committed to achieving near-zero methane emissions by 2030.,1
Shell achieved a reduction in hydrocarbon spill incidents in Nigeria compared with prior years.,1
Shell increased sites with community feedback mechanisms from 16 to 20 in 2023.,1
"Shell trained approximately 6,900 employees in energy transition-related courses in 2023.",1
Shell reported lost time injury frequency of 0.5 cases per million hours in 2023.,1
Shell increased renewable electricity purchases across multiple facilities.,1
Shell improved energy efficiency across refinery operations in 2023.,1
Shell committed to reducing plastic waste through increased recycled content in packaging.,1
Shell aims to increase recycled plastic content in branded packaging to 30% by 2030.,1
Shell committed to ensuring packaging is reusable or recyclable by 2030.,1
Shell reported total freshwater intake of 162 million cubic metres in 2023.,1
Shell reduced operational emissions through divestments and reduced flaring activities.,1
Shell reported verified Scope 3 emissions included in net carbon intensity calculations.,1
Shell committed to achieving net-zero deforestation from new activities.,1
Shell set biodiversity targets for nature-based solution projects launched after 2021.,1
Shell increased the number of biodiversity action plans across new projects.,1
Shell reported a total combined Scope 1 and 2 emissions value of 57 million tonnes in 2023.,1
Shell increased the deployment of carbon capture and storage projects.,1
Shell plans to publish its next Climate and Energy Transition Lobbying Report in 2024.,1
